Score,Submissions
0.94367,20
0.94362,15
0.94214,13
0.9417,50
0.94092,26
0.94092,3
0.94073,32
0.94023,50
0.94014,26
0.93961,20
0.93957,73
0.93896,11
0.93886,54
0.93885,54
0.93866,34
0.93853,40
0.93846,57
0.93816,41
0.93778,20
0.93776,34
0.93745,37
0.93711,52
0.93707,15
0.93691,53
0.93678,54
0.93676,28
0.93674,61
0.93638,59
0.93631,16
0.93628,55
0.93614,32
0.93594,34
0.93583,25
0.93581,57
0.9357,55
0.93567,10
0.93558,20
0.93542,45
0.93541,11
0.93528,11
0.93525,44
0.93525,26
0.93519,19
0.93516,19
0.9351,9
0.93506,60
0.93505,18
0.93502,67
0.93502,26
0.93486,38
0.93486,63
0.93484,6
0.93475,35
0.93474,29
0.93474,15
0.93471,66
0.93469,36
0.93448,26
0.93444,67
0.93441,69
0.93435,66
0.93433,46
0.93426,10
0.93422,24
0.93418,48
0.93412,26
0.93411,36
0.9341,13
0.93403,25
0.93402,43
0.93397,6
0.9338,29
0.93366,31
0.93365,44
0.93355,37
0.93348,29
0.93345,22
0.93344,17
0.93343,29
0.9334,49
0.93327,37
0.93325,12
0.93319,33
0.93316,14
0.93307,8
0.93307,12
0.93306,17
0.93301,24
0.93295,48
0.93286,30
0.93281,44
0.93274,7
0.93272,22
0.93271,41
0.93261,33
0.9326,2
0.93256,9
0.93256,30
0.93256,30
0.93254,21
0.93252,5
0.93242,59
0.9324,12
0.93228,26
0.93217,17
0.93216,24
0.93215,14
0.93214,65
0.93211,20
0.93202,29
0.932,42
0.932,33
0.93196,18
0.93195,7
0.93193,58
0.93192,7
0.93188,11
0.93183,19
0.93183,38
0.93181,22
0.93178,46
0.93177,29
0.93175,54
0.9317,47
0.93169,60
0.93164,10
0.93159,43
0.93158,7
0.93158,9
0.93158,46
0.93157,27
0.93154,13
0.93151,18
0.9315,17
0.93148,11
0.93143,13
0.9314,34
0.93135,29
0.93135,55
0.93134,13
0.93133,23
0.93128,22
0.93128,10
0.93125,27
0.93124,8
0.93124,46
0.93123,27
0.93122,21
0.93114,35
0.93112,22
0.93111,44
0.93109,23
0.93105,14
0.93099,36
0.93098,26
0.93097,12
0.93092,38
0.9309,41
0.93083,34
0.93078,14
0.93075,22
0.93067,17
0.93066,17
0.93065,24
0.93064,35
0.9306,15
0.93059,8
0.93059,11
0.93057,11
0.93055,63
0.93055,52
0.93043,67
0.93041,34
0.93028,12
0.93027,28
0.93026,11
0.93025,37
0.93024,27
0.93022,15
0.93019,4
0.93019,12
0.93018,38
0.93018,15
0.93011,15
0.93007,15
0.93006,17
0.93005,25
0.93003,13
0.92999,25
0.92996,12
0.92995,24
0.92992,14
0.92988,32
0.92986,16
0.92986,37
0.92986,11
0.92976,31
0.92974,24
0.92972,4
0.92972,16
0.92972,22
0.92969,34
0.92967,31
0.92964,7
0.92961,9
0.92956,4
0.92956,5
0.92953,17
0.92953,49
0.92953,69
0.92952,28
0.92952,12
0.9295,25
0.92949,12
0.92949,19
0.92949,20
0.92944,9
0.92941,20
0.92939,16
0.9293,23
0.92929,13
0.92926,21
0.92922,14
0.92919,7
0.92918,37
0.92917,39
0.92916,14
0.92913,31
0.92913,15
0.92912,25
0.92911,7
0.92908,12
0.92908,12
0.92903,48
0.929,25
0.92894,44
0.9289,61
0.92888,16
0.92882,40
0.92881,3
0.92878,28
0.92878,14
0.92869,10
0.92868,18
0.92868,24
0.92867,56
0.92866,7
0.92865,5
0.92865,18
0.92864,10
0.92864,16
0.92862,15
0.92862,16
0.92861,13
0.92861,11
0.92856,11
0.92854,10
0.9285,15
0.92849,34
0.92849,30
0.92846,45
0.92844,24
0.92843,25
0.92842,22
0.92841,18
0.92839,7
0.92838,18
0.92835,8
0.92834,25
0.92824,48
0.92817,6
0.92812,2
0.92805,28
0.92803,44
0.92803,18
0.92801,31
0.92801,33
0.928,28
0.928,13
0.92798,20
0.92797,34
0.92791,20
0.9279,15
0.92776,13
0.92773,19
0.92772,15
0.92771,22
0.92769,12
0.92767,7
0.92767,9
0.92764,6
0.92764,2
0.92758,35
0.92757,14
0.92755,24
0.92753,17
0.92751,75
0.92751,3
0.92748,10
0.92747,4
0.92741,29
0.92735,13
0.92733,14
0.92733,7
0.92732,13
0.92732,20
0.92729,27
0.92719,25
0.92717,21
0.92717,32
0.92715,26
0.92715,15
0.92712,22
0.9271,12
0.92707,30
0.92706,19
0.92705,10
0.92702,10
0.92699,24
0.92695,7
0.92687,21
0.92684,18
0.92667,35
0.92667,17
0.92667,14
0.92667,6
0.92667,3
0.92664,17
0.92663,2
0.92662,12
0.92658,33
0.92654,1
0.92654,18
0.92647,17
0.92646,14
0.92641,23
0.9264,18
0.92634,15
0.92633,27
0.92626,9
0.92624,7
0.92622,6
0.92613,5
0.92612,14
0.9261,14
0.92608,19
0.92607,11
0.92607,15
0.92602,34
0.926,5
0.926,8
0.92599,12
0.92595,33
0.92595,17
0.92593,31
0.9259,46
0.92587,6
0.92587,19
0.92587,7
0.92584,22
0.92584,32
0.92579,11
0.92569,6
0.92567,5
0.92566,16
0.92565,19
0.92563,21
0.9256,21
0.92548,20
0.92544,16
0.92537,16
0.92536,30
0.92533,10
0.92531,11
0.9253,15
0.92528,9
0.92527,5
0.92525,32
0.92522,11
0.9252,20
0.92519,12
0.92518,11
0.92516,11
0.92513,36
0.92513,38
0.92509,6
0.92508,14
0.92505,28
0.925,13
0.92499,15
0.92487,37
0.92486,4
0.92483,16
0.92483,6
0.92468,16
0.92457,3
0.92457,11
0.92452,2
0.92451,20
0.9245,21
0.92449,2
0.92446,6
0.92446,31
0.92444,17
0.92443,23
0.92438,42
0.92429,18
0.92428,17
0.92426,19
0.92426,8
0.9242,6
0.92419,14
0.92419,7
0.92419,5
0.92417,21
0.92413,16
0.92404,11
0.92403,13
0.92403,22
0.92399,3
0.92398,7
0.92393,3
0.92392,7
0.92388,26
0.92387,13
0.92382,34
0.92381,9
0.92378,5
0.92367,5
0.92364,6
0.92356,11
0.92355,7
0.92354,10
0.92348,14
0.92348,9
0.92347,29
0.92335,15
0.92331,11
0.92319,19
0.92317,10
0.92316,3
0.92315,6
0.92312,9
0.92307,8
0.92304,16
0.92302,6
0.92296,4
